,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total,STATE,ANN
75,0.94,1.14,0.79,2.87,222.81,226.23,164.02,612.27,ID,115.0
76,0.94,1.14,0.79,2.87,222.81,226.23,164.02,612.27,ID,104.0
77,1.12,0.43,0.8,2.36,265.48,85.33,166.1,503.47,IL,104.0
78,1.12,0.43,0.8,2.36,265.48,85.33,166.1,503.47,IL,104.0
79,1.12,0.43,0.8,2.36,265.48,85.33,166.1,503.47,IL,105.0
80,1.12,0.43,0.8,2.36,265.48,85.33,166.1,503.47,IL,105.0
81,1.12,0.43,0.8,2.36,265.48,85.33,166.1,503.47,IL,112.0
82,0.98,0.28,0.88,2.14,232.3,55.57,182.71,456.53,IN,107.0
83,0.98,0.28,0.88,2.14,232.3,55.57,182.71,456.53,IN,106.0
84,0.98,0.28,0.88,2.14,232.3,55.57,182.71,456.53,IN,105.0
85,0.98,0.28,0.88,2.14,232.3,55.57,182.71,456.53,IN,109.0
86,1.31,0.22,0.83,2.36,310.52,43.66,172.33,503.47,IA,108.0
87,1.31,0.22,0.83,2.36,310.52,43.66,172.33,503.47,IA,101.0
88,1.31,0.22,0.83,2.36,310.52,43.66,172.33,503.47,IA,108.0
89,1.31,0.22,0.83,2.36,310.52,43.66,172.33,503.47,IA,105.0
90,1.03,0.14,0.74,1.91,244.15,27.78,153.64,407.47,KS,116.0
91,1.03,0.14,0.74,1.91,244.15,27.78,153.64,407.47,KS,111.0
92,1.03,0.14,0.74,1.91,244.15,27.78,153.64,407.47,KS,111.0
93,1.03,0.14,0.74,1.91,244.15,27.78,153.64,407.47,KS,112.0
94,1.03,0.14,0.74,1.91,244.15,27.78,153.64,407.47,KS,113.0
95,0.99,0.22,0.76,1.97,234.67,43.66,157.79,420.27,KY,104.0
96,0.99,0.22,0.76,1.97,234.67,43.66,157.79,420.27,KY,108.0
97,0.99,0.22,0.76,1.97,234.67,43.66,157.79,420.27,KY,106.0
98,0.99,0.22,0.76,1.97,234.67,43.66,157.79,420.27,KY,108.0
99,1.27,0.33,0.98,2.59,301.04,65.49,203.47,552.53,LA,105.0
100,1.27,0.33,0.98,2.59,301.04,65.49,203.47,552.53,LA,107.0
101,1.27,0.33,0.98,2.59,301.04,65.49,203.47,552.53,LA,102.0
102,1.27,0.33,0.98,2.59,301.04,65.49,203.47,552.53,LA,109.0
103,1.37,0.44,0.97,2.78,324.74,87.32,201.39,593.07,ME,96.0
104,1.37,0.44,0.97,2.78,324.74,87.32,201.39,593.07,ME,103.0
105,0.85,0.39,0.9,2.14,201.48,77.4,186.86,456.53,MD,106.0
106,0.96,0.65,0.91,2.52,227.56,128.99,188.94,537.6,MA,101.0
107,0.96,0.65,0.91,2.52,227.56,128.99,188.94,537.6,MA,103.0
108,0.96,0.65,0.91,2.52,227.56,128.99,188.94,537.6,MA,99.0
109,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,106.0
110,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,104.0
111,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,101.0
112,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,104.0
113,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,103.0
114,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,103.0
115,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,99.0
116,0.99,0.36,0.89,2.24,234.67,71.44,184.79,477.87,MI,98.0
117,1.15,0.35,0.86,2.36,272.59,69.46,178.56,503.47,,
118,1.16,0.43,1.14,2.73,274.96,85.33,236.69,582.4,MN,97.0
119,1.16,0.43,1.14,2.73,274.96,85.33,236.69,582.4,MN,103.0
120,1.16,0.43,1.14,2.73,274.96,85.33,236.69,582.4,MN,105.0
121,1.16,0.43,1.14,2.73,274.96,85.33,236.69,582.4,MN,108.0
122,1.16,0.43,1.14,2.73,274.96,85.33,236.69,582.4,MN,103.0
123,1.31,0.17,0.77,2.24,310.52,33.74,159.87,477.87,MS,107.0
124,1.31,0.17,0.77,2.24,310.52,33.74,159.87,477.87,MS,107.0
125,1.31,0.17,0.77,2.24,310.52,33.74,159.87,477.87,MS,107.0
126,1.17,0.39,0.97,2.53,277.33,77.4,201.39,539.73,MO,111.0
127,1.17,0.39,0.97,2.53,277.33,77.4,201.39,539.73,MO,109.0
128,1.17,0.39,0.97,2.53,277.33,77.4,201.39,539.73,MO,115.0
129,1.17,0.39,0.97,2.53,277.33,77.4,201.39,539.73,MO,113.0
130,1.63,0.5,0.96,3.09,386.37,99.22,199.32,659.2,MT,108.0
131,1.63,0.5,0.96,3.09,386.37,99.22,199.32,659.2,MT,108.0
132,1.63,0.5,0.96,3.09,386.37,99.22,199.32,659.2,MT,106.0
133,1.63,0.5,0.96,3.09,386.37,99.22,199.32,659.2,MT,111.0
134,1.63,0.5,0.96,3.09,386.37,99.22,199.32,659.2,MT,105.0
135,1.63,0.5,0.96,3.09,386.37,99.22,199.32,659.2,MT,105.0
136,1.63,0.5,0.96,3.09,386.37,99.22,199.32,659.2,MT,107.0
137,1.34,0.22,0.71,2.27,317.63,43.66,147.41,484.27,NE,111.0
138,1.34,0.22,0.71,2.27,317.63,43.66,147.41,484.27,NE,108.0
139,1.34,0.22,0.71,2.27,317.63,43.66,147.41,484.27,NE,113.0
140,1.34,0.22,0.71,2.27,317.63,43.66,147.41,484.27,NE,112.0
141,1.34,0.22,0.71,2.27,317.63,43.66,147.41,484.27,NE,110.0
142,1.34,0.22,0.71,2.27,317.63,43.66,147.41,484.27,NE,110.0
143,1.34,0.22,0.71,2.27,317.63,43.66,147.41,484.27,NE,114.0
144,1.39,0.66,1.3,3.35,329.48,130.98,269.91,714.67,NV,107.0
145,1.39,0.66,1.3,3.35,329.48,130.98,269.91,714.67,NV,101.0
146,1.39,0.66,1.3,3.35,329.48,130.98,269.91,714.67,NV,117.0
147,1.39,0.66,1.3,3.35,329.48,130.98,269.91,714.67,NV,108.0
148,1.39,0.66,1.3,3.35,329.48,130.98,269.91,714.67,NV,109.0
149,1.87,0.88,1.95,4.7,443.26,174.64,404.87,1002.67,NH,102.0
150,1.87,0.88,1.95,4.7,443.26,174.64,404.87,1002.67,NH,72.0
151,0.84,0.6,0.93,2.37,199.11,119.07,193.09,505.6,,
152,1.02,0.3,0.78,2.1,241.78,59.53,161.95,448.0,NM,107.0
153,1.02,0.3,0.78,2.1,241.78,59.53,161.95,448.0,NM,105.0
154,1.02,0.3,0.78,2.1,241.78,59.53,161.95,448.0,NM,114.0
155,0.91,0.5,0.77,2.19,215.7,99.22,159.87,467.2,NY,100.0
156,0.91,0.5,0.77,2.19,215.7,99.22,159.87,467.2,NY,98.0
157,0.91,0.5,0.77,2.19,215.7,99.22,159.87,467.2,NY,99.0
158,0.91,0.5,0.77,2.19,215.7,99.22,159.87,467.2,NY,102.0
159,0.91,0.5,0.77,2.19,215.7,99.22,159.87,467.2,NY,102.0
160,0.91,0.5,0.77,2.19,215.7,99.22,159.87,467.2,NY,101.0
161,1.05,0.42,0.63,2.1,248.89,83.35,130.8,448.0,NC,101.0
162,1.05,0.42,0.63,2.1,248.89,83.35,130.8,448.0,NC,96.0
163,1.05,0.42,0.63,2.1,248.89,83.35,130.8,448.0,NC,104.0
164,1.05,0.42,0.63,2.1,248.89,83.35,130.8,448.0,NC,103.0
165,1.05,0.42,0.63,2.1,248.89,83.35,130.8,448.0,NC,105.0
166,1.05,0.42,0.63,2.1,248.89,83.35,130.8,448.0,NC,104.0
167,1.58,0.35,1.33,3.26,374.52,69.46,276.14,695.47,ND,112.0
168,1.58,0.35,1.33,3.26,374.52,69.46,276.14,695.47,ND,106.0
169,1.58,0.35,1.33,3.26,374.52,69.46,276.14,695.47,ND,104.0
170,1.58,0.35,1.33,3.26,374.52,69.46,276.14,695.47,ND,110.0
171,1.04,0.51,0.85,2.4,246.52,101.21,176.48,512.0,,
172,1.17,0.3,0.56,2.03,277.33,59.53,116.27,433.07,OH,101.0
173,1.17,0.3,0.56,2.03,277.33,59.53,116.27,433.07,OH,104.0
174,1.17,0.3,0.56,2.03,277.33,59.53,116.27,433.07,OH,104.0
175,1.17,0.3,0.56,2.03,277.33,59.53,116.27,433.07,OH,104.0
176,1.17,0.3,0.56,2.03,277.33,59.53,116.27,433.07,OH,102.0
177,1.17,0.3,0.56,2.03,277.33,59.53,116.27,433.07,OH,101.0
178,1.17,0.3,0.56,2.03,277.33,59.53,116.27,433.07,OH,104.0
179,1.17,0.3,0.56,2.03,277.33,59.53,116.27,433.07,OH,103.0
180,1.07,0.19,0.62,1.89,253.63,37.71,128.73,403.2,OK,113.0
181,1.07,0.19,0.62,1.89,253.63,37.71,128.73,403.2,OK,113.0
182,1.23,0.58,0.9,2.71,291.56,115.1,186.86,578.13,OR,95.0
183,1.23,0.58,0.9,2.71,291.56,115.1,186.86,578.13,OR,107.0
184,1.23,0.58,0.9,2.71,291.56,115.1,186.86,578.13,OR,108.0
185,1.23,0.58,0.9,2.71,291.56,115.1,186.86,578.13,OR,115.0
186,1.23,0.58,0.9,2.71,291.56,115.1,186.86,578.13,OR,114.0
187,1.23,0.58,0.9,2.71,291.56,115.1,186.86,578.13,OR,107.0
188,1.23,0.58,0.9,2.71,291.56,115.1,186.86,578.13,OR,108.0
189,1.23,0.58,0.9,2.71,291.56,115.1,186.86,578.13,OR,97.0
190,1.31,0.32,0.7,2.33,310.52,63.5,145.34,497.07,PA,105.0
191,1.31,0.32,0.7,2.33,310.52,63.5,145.34,497.07,PA,100.0
192,1.31,0.32,0.7,2.33,310.52,63.5,145.34,497.07,PA,103.0
193,1.31,0.32,0.7,2.33,310.52,63.5,145.34,497.07,PA,104.0
194,1.31,0.32,0.7,2.33,310.52,63.5,145.34,497.07,PA,103.0
195,1.31,0.32,0.7,2.33,310.52,63.5,145.34,497.07,PA,101.0
196,1.31,0.32,0.7,2.33,310.52,63.5,145.34,497.07,PA,103.0
197,0.96,0.57,0.99,2.52,227.56,113.12,205.55,537.6,,
198,1.21,0.25,0.79,2.25,286.81,49.61,164.02,480.0,SC,104.0
199,1.21,0.25,0.79,2.25,286.81,49.61,164.02,480.0,SC,109.0
200,1.21,0.25,0.79,2.25,286.81,49.61,164.02,480.0,SC,107.0
201,1.49,0.29,1.03,2.81,353.19,57.55,213.85,599.47,SD,115.0
202,1.49,0.29,1.03,2.81,353.19,57.55,213.85,599.47,SD,112.0
203,1.49,0.29,1.03,2.81,353.19,57.55,213.85,599.47,SD,111.0
204,1.49,0.29,1.03,2.81,353.19,57.55,213.85,599.47,SD,110.0
205,1.12,0.36,0.77,2.24,265.48,71.44,159.87,477.87,,
206,1.04,0.27,0.76,2.06,246.52,53.58,157.79,439.47,TN,103.0
207,1.04,0.27,0.76,2.06,246.52,53.58,157.79,439.47,TN,107.0
208,1.04,0.27,0.76,2.06,246.52,53.58,157.79,439.47,TN,105.0
209,1.04,0.27,0.76,2.06,246.52,53.58,157.79,439.47,TN,108.0
210,1.04,0.27,0.76,2.06,246.52,53.58,157.79,439.47,TN,109.0
211,1.04,0.27,0.76,2.06,246.52,53.58,157.79,439.47,TN,105.0
212,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,110.0
213,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,111.0
214,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,112.0
215,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,106.0
216,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,109.0
217,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,112.0
218,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,112.0
219,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,114.0
220,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,104.0
221,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,109.0
222,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,114.0
223,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,116.0
224,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,108.0
225,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,111.0
226,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,111.0
227,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,111.0
228,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,112.0
229,1.28,0.33,0.67,2.28,303.41,65.49,139.11,486.4,TX,117.0
230,1.09,0.42,0.81,2.33,258.37,83.35,168.18,497.07,,
231,0.65,0.2,0.54,1.4,154.07,39.69,112.12,298.67,UT,107.0
232,1.57,0.78,0.73,3.08,372.15,154.79,151.57,657.07,VT,101.0
233,1.0,0.48,0.65,2.13,237.04,95.26,134.96,454.4,VA,103.0
234,1.0,0.48,0.65,2.13,237.04,95.26,134.96,454.4,VA,105.0
235,1.0,0.48,0.65,2.13,237.04,95.26,134.96,454.4,VA,105.0
236,1.0,0.48,0.65,2.13,237.04,95.26,134.96,454.4,VA,105.0
237,1.0,0.48,0.65,2.13,237.04,95.26,134.96,454.4,VA,102.0
238,0.97,0.53,0.77,2.26,229.93,105.18,159.87,482.13,WA,104.0
239,0.97,0.53,0.77,2.26,229.93,105.18,159.87,482.13,WA,99.0
240,0.97,0.53,0.77,2.26,229.93,105.18,159.87,482.13,WA,103.0
241,0.97,0.53,0.77,2.26,229.93,105.18,159.87,482.13,WA,108.0
242,0.97,0.53,0.77,2.26,229.93,105.18,159.87,482.13,WA,114.0
243,0.97,0.53,0.77,2.26,229.93,105.18,159.87,482.13,WA,110.0
244,1.05,0.52,0.82,2.38,248.89,103.19,170.25,507.73,,
245,1.21,0.11,0.47,1.78,286.81,21.83,97.58,379.73,WV,96.0
246,1.21,0.11,0.47,1.78,286.81,21.83,97.58,379.73,WV,104.0
247,1.21,0.11,0.47,1.78,286.81,21.83,97.58,379.73,WV,99.0
248,1.21,0.11,0.47,1.78,286.81,21.83,97.58,379.73,WV,104.0
249,1.39,0.39,1.2,2.98,329.48,77.4,249.15,635.73,WI,104.0
250,1.39,0.39,1.2,2.98,329.48,77.4,249.15,635.73,WI,108.0
251,1.39,0.39,1.2,2.98,329.48,77.4,249.15,635.73,WI,104.0
252,1.39,0.39,1.2,2.98,329.48,77.4,249.15,635.73,WI,103.0
253,1.25,0.31,1.18,2.74,296.3,61.52,245.0,584.53,WY,104.0
254,1.25,0.31,1.18,2.74,296.3,61.52,245.0,584.53,WY,100.0
255,1.25,0.31,1.18,2.74,296.3,61.52,245.0,584.53,WY,101.0
256,1.25,0.31,1.18,2.74,296.3,61.52,245.0,584.53,WY,107.0
