,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
count,2352.0,2352.0,2352.0,2352.0,2352.0,2352.0,2352.0,2352.0,2352.0
mean,1997.5,1.2792687074829954,0.3461437074829931,0.8503911564625867,2.4760629251700745,303.2340639959693,68.69208458577256,176.56134310983052,528.226757369614
std,12.123496104886135,0.22874441573850135,0.18214180562748325,0.34700090778350345,0.6096054265935593,54.22089854542275,36.145970729175026,72.04560615780755,130.04915767329246
min,1977.0,0.58,0.08,0.36,1.1900000000000002,137.4814814814815,15.875968992248064,74.74452554744526,253.86666666666667
25%,1987.0,1.12,0.21,0.65,2.13,265.4814814814815,41.67441860465117,134.95539334955393,454.4
50%,1997.5,1.27,0.31,0.77,2.36,301.03703703703707,61.51937984496124,159.87023519870237,503.4666666666666
75%,2008.0,1.4,0.45,0.96,2.7,331.8518518518518,89.30232558139534,199.31873479318736,576.0000000000001
max,2018.0,2.17,1.21,3.56,6.3199999999999985,514.3703703703703,240.1240310077519,739.1403081914032,1348.2666666666667
